GENESIS-Tabelle: 33111-0004
Bodenfläche (tatsächliche Nutzung): Bundesländer, Stichtag;;;;;;;;;;;;;;;;;;
(bis 31.12.2015), Nutzungsarten;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;
Bodenfläche (qkm);;;;;;;;;;;;;;;;;;
;;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten
;;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche;Betriebsfläche;Erholungsfläche;Erholungsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Flächen anderer Nutzung;Flächen anderer Nutzung;Flächen anderer Nutzung
;;Insgesamt;Gebäude- und Freifläche Wohnen;Gebäude- und Freifläche Gewerbe und Industrie;Insgesamt;Betriebsfläche Abbauland;Insgesamt;Grünanlage;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;Insgesamt;Insgesamt;Insgesamt;Friedhof;Unland
31.12.2014;Saarland;322,039;118,342;43,826;28,014;5,766;25,961;11,307;160,545;143,069;1100,347;0,022;1,107;873,766;26,124;32,966;6,468;17,257
31.12.2014;Sachsen;1318,870;734,000;213,210;343,750;286,140;251,460;141,430;800,020;675,820;10077,990;0,530;26,940;4989,140;386,530;252,500;17,280;226,260
31.12.2014;Sachsen-Anhalt;881,009;363,565;183,309;137,760;104,786;521,353;444,345;792,656;702,842;12555,176;1,118;140,249;5057,828;479,568;26,334;18,202;8,132
31.12.2014;Schleswig-Holstein;1100,309;671,450;108,639;88,666;45,054;177,089;98,792;697,685;617,127;11024,037;89,354;23,016;1668,093;805,222;241,887;13,279;226,555
31.12.2014;Thüringen;719,891;405,971;132,114;84,580;46,114;109,555;39,381;699,309;630,408;8891,174;0,348;1,950;5297,750;201,682;198,202;11,810;186,392
31.12.2014;Insgesamt;25025,702;13124,887;3436,849;2643,457;1619,468;4396,953;2899,634;18070,659;15748,636;184606,686;841,465;602,047;109305,635;8476,897;4850,132;377,289;4280,881
31.12.2015;Baden-Württemberg;2787,770;1507,570;486,420;112,000;67,970;314,740;162,660;1975,420;1835,120;16234,980;20,070;12,860;13699,760;391,930;234,730;36,880;191,250
31.12.2015;Bayern;4339,968;2121,970;452,658;359,255;155,395;510,629;208,624;3303,197;3085,020;33063,046;129,693;21,165;25720,721;1234,522;2018,733;41,545;1977,188
31.12.2015;Berlin;370,369;214,732;34,094;5,312;0,039;106,701;97,200;133,058;107,485;38,319;0,454;0,037;163,638;60,002;14,279;10,914;2,332
31.12.2015;Brandenburg;1309,976;631,160;316,147;433,541;337,410;268,553;185,053;1101,651;940,754;14606,801;1,104;126,369;10534,049;1021,778;378,013;23,491;351,517
