1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;3101000;Braunschweig;vers.;218;128;90;3;2;1;10;3;7;13;5;8;36;20;16;10;9;1;142;83;59;17;11;6;159;94;65
------;Straftaten insgesamt;3101000;Braunschweig;insg.;3,694;2,151;1,543;48;21;27;188;94;94;236;115;121;304;150;154;325;172;153;2,607;1,564;1,043;222;150;72;2,829;1,714;1,115
------;Straftaten insgesamt;4011000;Bremen;voll.;10,988;6,482;4,506;83;39;44;484;248;236;567;287;280;782;447;335;940;546;394;8,052;4,856;3,196;647;346;301;8,699;5,202;3,497
------;Straftaten insgesamt;4011000;Bremen;vers.;764;503;261;2;1;1;38;23;15;40;24;16;55;34;21;41;23;18;567;388;179;61;34;27;628;422;206
------;Straftaten insgesamt;4011000;Bremen;insg.;11,752;6,985;4,767;85;40;45;522;271;251;607;311;296;837;481;356;981;569;412;8,619;5,244;3,375;708;380;328;9,327;5,624;3,703
------;Straftaten insgesamt;4012000;Bremerhaven;voll.;2,352;1,340;1,012;22;11;11;143;69;74;165;80;85;176;90;86;200;100;100;1,678;994;684;133;76;57;1,811;1,070;741
------;Straftaten insgesamt;4012000;Bremerhaven;vers.;108;74;34;1;0;1;2;2;0;3;2;1;9;6;3;12;9;3;73;51;22;11;6;5;84;57;27
------;Straftaten insgesamt;4012000;Bremerhaven;insg.;2,460;1,414;1,046;23;11;12;145;71;74;168;82;86;185;96;89;212;109;103;1,751;1,045;706;144;82;62;1,895;1,127;768
------;Straftaten insgesamt;14511000;Chemnitz;voll.;3,095;1,856;1,239;44;24;20;198;95;103;242;119;123;252;129;123;243;142;101;2,157;1,354;803;201;112;89;2,358;1,466;892
------;Straftaten insgesamt;14511000;Chemnitz;vers.;215;142;73;2;2;0;8;6;2;10;8;2;20;9;11;25;16;9;144;98;46;16;11;5;160;109;51
------;Straftaten insgesamt;14511000;Chemnitz;insg.;3,310;1,998;1,312;46;26;20;206;101;105;252;127;125;272;138;134;268;158;110;2,301;1,452;849;217;123;94;2,518;1,575;943
------;Straftaten insgesamt;12052000;Cottbus;voll.;1,677;1,001;676;14;6;8;102;60;42;116;66;50;106;72;34;155;88;67;1,175;699;476;125;76;49;1,300;775;525
------;Straftaten insgesamt;12052000;Cottbus;vers.;119;75;44;1;1;0;14;11;3;15;12;3;8;4;4;14;6;8;72;47;25;10;6;4;82;53;29
------;Straftaten insgesamt;12052000;Cottbus;insg.;1,796;1,076;720;15;7;8;116;71;45;131;78;53;114;76;38;169;94;75;1,247;746;501;135;82;53;1,382;828;554
------;Straftaten insgesamt;6411000;Darmstadt;voll.;1,495;842;653;10;6;4;74;33;41;84;39;45;118;66;52;119;64;55;1,077;615;462;97;58;39;1,174;673;501
------;Straftaten insgesamt;6411000;Darmstadt;vers.;81;51;30;0;0;0;1;1;0;1;1;0;7;3;4;2;2;0;65;41;24;6;4;2;71;45;26
------;Straftaten insgesamt;6411000;Darmstadt;insg.;1,576;893;683;10;6;4;75;34;41;85;40;45;125;69;56;121;66;55;1,142;656;486;103;62;41;1,245;718;527
------;Straftaten insgesamt;5913000;Dortmund;voll.;10,710;6,256;4,454;90;44;46;514;267;247;604;311;293;761;413;348;785;413;372;7,941;4,734;3,207;619;385;234;8,560;5,119;3,441
